cmb_nutr,cmb_func,cmb_pill
di,04,00001
di,04,00002
di,04,00003
di,07,00004
di,04,00004
an,07,00004
an,04,00004
ae,07,00004
ae,04,00004
aa,07,00004
aa,04,00004
ak,07,00004
ak,04,00004
di,04,00005
di,04,00006
am,04,00006
ae,04,00006
aa,04,00006
ar,04,00006
ak,04,00006
di,04,00007
ao,04,00007
di,04,00008
bm,04,00008
ae,04,00008
ao,04,00008
aq,04,00008
di,04,00009
di,04,00009
di,01,00009
di,07,00010
di,04,00010
an,07,00010
an,04,00010
ae,07,00010
ae,04,00010
ak,07,00010
ak,04,00010
di,05,00011
di,01,00012
di,01,00013
dq,01,00013
cu,01,00013
di,04,00014
di,04,00015
bm,04,00015
di,22,00016
di,01,00016
aa,22,00016
aa,01,00016
ad,22,00016
ad,01,00016
ap,22,00016
ap,01,00016
cu,22,00016
cu,01,00016
ar,22,00016
ar,01,00016
af,22,00016
af,01,00016
bd,22,00016
bd,01,00016
di,07,00017
di,04,00017
ab,07,00017
ab,04,00017
di,04,00018
di,04,00018
di,04,00019
di,01,00019
di,04,00020
ak,04,00020
di,04,00021
di,18,00022
bm,18,00022
bc,18,00022
be,18,00022
aa,18,00022
ap,18,00022
af,18,00022
cd,18,00022
bd,18,00022
ak,18,00022
dl,18,00022
cy,18,00022
di,04,00023
ak,04,00023
di,04,00024
di,04,00025
di,07,00026
di,04,00026
di,01,00026
di,19,00026
al,07,00026
al,04,00026
al,01,00026
al,19,00026
ae,07,00026
ae,04,00026
ae,01,00026
ae,19,00026
ap,07,00026
ap,04,00026
ap,01,00026
ap,19,00026
di,08,00027
di,04,00027
ae,08,00027
ae,04,00027
cu,08,00027
cu,04,00027
aq,08,00027
aq,04,00027
di,04,00028
ai,04,00028
ak,04,00028
di,04,00029
di,04,00029
di,04,00030
di,01,00030
am,04,00030
am,01,00030
ak,04,00030
ak,01,00030
di,17,00031
di,05,00031
cu,17,00031
cu,05,00031
di,04,00032
bm,04,00032
ae,04,00032
af,04,00032
av,04,00032
dh,04,00032
di,17,00033
an,17,00033
bm,17,00033
dh,17,00033
di,17,00034
di,04,00035
di,04,00036
di,17,00037
di,04,00037
bm,17,00037
bm,04,00037
di,01,00038
ai,01,00038
di,01,00039
dq,01,00039
ar,01,00039
di,04,00040
di,04,00041
ai,04,00041
di,04,00042
di,04,00043
di,04,00044
cm,04,00044
aa,04,00044
at,04,00044
ak,04,00044
di,17,00045
di,04,00045
di,10,00045
di,12,00046
di,04,00046
di,04,00047
di,04,00048
ak,04,00048
di,04,00049
di,04,00050
di,01,00050
am,04,00050
am,01,00050
di,17,00051
di,01,00051
cu,17,00051
cu,01,00051
di,04,00052
di,04,00052
bk,04,00052
bk,04,00052
di,04,00053
cm,04,00053
bm,04,00053
cu,04,00053
di,12,00054
di,16,00054
bd,12,00054
bd,16,00054
ak,12,00054
ak,16,00054
di,04,00055
di,04,00056
di,17,00057
di,04,00057
di,04,00058
di,17,00059
di,04,00059
di,17,00060
di,17,00060
cm,17,00060
cm,17,00060
aa,17,00060
aa,17,00060
av,17,00060
av,17,00060
at,17,00060
at,17,00060
ao,17,00060
ao,17,00060
di,04,00061
di,04,00062
di,01,00063
cu,01,00063
di,17,00064
cu,17,00064
ar,17,00064
di,04,00065
di,17,00066
cu,17,00066
ar,17,00066
di,04,00067
bb,04,00067
an,04,00067
bm,04,00067
