pill_cd,pill_nm,pill_mnf,pill_rv,pill_rvnum,pill_info
00001,L-카르니틴 1000mg,나우푸드,4.35,69,"*언제든*   하루에 1회, 1회당 1정씩 드세요"
00002,슬림플래닛 L-카르니틴 2000mg 엑서사이즈,청안오가닉스,4.45,22,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 3캡슐씩 드세요"
00003,L-카르니틴 타르트레이트1000mg 캡슐,뉴트리코스트,4.75,16,"*언제든*   하루에 1회, 1회당 2캡슐씩 물과 함께 드세요"
00004,맥스컷 다이어트 부스터 3.1,헬스헬퍼,4.54,13,"*오전중*   하루에 1회, 1회당 1포씩 350ml의 물에 섞어서 드세요"
00005,L-카르니틴 아미노산,마이프로틴,4.64,11,"*언제든, 식후*   하루에 1회, 1회당 2정씩 드세요"
00006,더슬림 부스터,닥터리본,4.43,7,"*아침/저녁*   하루에 2회, 1회당 1포씩 300-500ml 물에 섞어서 드세요"
00007,L카르티닌 엘카슬림,네이처그린라이프,3.86,7,"*아침/저녁*   하루에 2회, 1회당 3정씩 물과 함께 드세요"
00008,슈퍼 컷츠3,유니버셜뉴트리션,4.0,5,"*아침/점심/자기전*   하루에 3회, 1회당 3정씩 230ml 이상의 물과 함께 드세요"
00009,리턴업 팻다운 부스터 카르니틴,CJ웰케어,4.33,6,"*운동전후*   하루에 1회, 1회당 1병씩 드세요"
00010,(단종) 세리번 나이트 오아시스,세리박스,5.0,4,"*저녁, 식전*   하루에 1회, 1회당 1포씩 400ml의 물에 타서 드세요"
00011,엘칸정,일동제약,4.0,4,*아침/저녁*   하루에 최소 2회 - 최대 3회까지 3정씩 물과 함께 드세요
00012,에너라민파워 액,일동제약,4.5,4,"*언제든*   하루에 1회, 1회당 최소 2개 - 최대 3개까지 드세요"
00013,(단종) 나를변화,닥터프릭,4.75,4,"*언제든*   하루에 1회, 1회당 1포씩 드세요"
00014,연녹이 플러스 버닝다이어트 L카르니틴 부스터 업,지알앤,4.67,3,"*아침, 식후/점심, 식후/저녁, 식후*   하루에 3회, 1회당 2정씩 드세요"
00015,5.2 컷팅베이스,오이샵,4.67,3,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 5g씩 500ml의 물에 섞어서 드세요"
00016,플러시드,메타포뮬러,5.0,3,"*아침, 식후/저녁, 식후*   하루에 2회, 1회당 3캡슐씩 드세요"
00017,더 데이,싹,4.67,3,"*아침, 식후*   하루에 1회, 1회당 1포씩 드세요"
00018,카르니틴 프로,아이언맥스,5.0,2,"*아침/저녁*   하루에 2회, 1회당 1캡슐씩 드세요"
00019,센트디엑스,퍼스트헬스케어,4.0,2,"*운동전후*   하루에 1회, 1회당 1병씩 드세요"
