cmb_cat,cmb_nutr,cmb_func,cmb_pill
ap,di,04,00001
ap,di,04,00002
ap,di,04,00003
vm,an,07,00004
vm,an,04,00004
vm,ae,07,00004
vm,ae,04,00004
vm,aa,07,00004
vm,aa,04,00004
vm,ak,07,00004
vm,ak,04,00004
ap,di,04,00005
ap,di,04,00006
ap,am,04,00006
ap,ae,04,00006
ap,aa,04,00006
ap,ar,04,00006
ap,ak,04,00006
vm,di,04,00006
vm,am,04,00006
vm,ae,04,00006
vm,aa,04,00006
vm,ar,04,00006
vm,ak,04,00006
ap,di,04,00007
ap,ao,04,00007
vm,di,04,00007
vm,ao,04,00007
ap,di,04,00008
ap,bm,04,00008
ap,ae,04,00008
ap,ao,04,00008
ap,aq,04,00008
ph,di,04,00008
ph,bm,04,00008
ph,ae,04,00008
ph,ao,04,00008
ph,aq,04,00008
vm,di,04,00008
vm,bm,04,00008
vm,ae,04,00008
vm,ao,04,00008
vm,aq,04,00008
ap,di,04,00009
ap,di,01,00009
ap,di,07,00010
ap,di,04,00010
ap,an,07,00010
ap,an,04,00010
ap,ae,07,00010
ap,ae,04,00010
ap,ak,07,00010
ap,ak,04,00010
vm,di,07,00010
vm,di,04,00010
vm,an,07,00010
vm,an,04,00010
vm,ae,07,00010
vm,ae,04,00010
vm,ak,07,00010
vm,ak,04,00010
ap,di,05,00011
ap,di,01,00012
ap,di,01,00013
ap,dq,01,00013
ap,cu,01,00013
nf,di,01,00013
nf,dq,01,00013
nf,cu,01,00013
ap,di,04,00014
ap,di,04,00015
ap,bm,04,00015
ph,di,04,00015
ph,bm,04,00015
ap,di,22,00016
ap,di,01,00016
ap,aa,22,00016
ap,aa,01,00016
ap,ad,22,00016
ap,ad,01,00016
ap,ap,22,00016
ap,ap,01,00016
ap,cu,22,00016
ap,cu,01,00016
ap,ar,22,00016
ap,ar,01,00016
ap,af,22,00016
ap,af,01,00016
ap,bd,22,00016
ap,bd,01,00016
vm,di,22,00016
vm,di,01,00016
vm,aa,22,00016
vm,aa,01,00016
vm,ad,22,00016
vm,ad,01,00016
vm,ap,22,00016
vm,ap,01,00016
vm,cu,22,00016
vm,cu,01,00016
vm,ar,22,00016
vm,ar,01,00016
vm,af,22,00016
vm,af,01,00016
vm,bd,22,00016
vm,bd,01,00016
ap,di,07,00017
ap,di,04,00017
ap,ab,07,00017
ap,ab,04,00017
vm,di,07,00017
vm,di,04,00017
vm,ab,07,00017
vm,ab,04,00017
ap,di,04,00018
ap,di,04,00019
ap,di,01,00019
ap,di,04,00020
ap,ak,04,00020
vm,di,04,00020
vm,ak,04,00020
ap,di,04,00021
ap,di,18,00022
ap,bm,18,00022
ap,bc,18,00022
ap,be,18,00022
ap,aa,18,00022
ap,ap,18,00022
ap,af,18,00022
ap,cd,18,00022
ap,bd,18,00022
ap,ak,18,00022
ap,dl,18,00022
ap,cy,18,00022
fs,di,18,00022
fs,bm,18,00022
fs,bc,18,00022
fs,be,18,00022
fs,aa,18,00022
fs,ap,18,00022
fs,af,18,00022
fs,cd,18,00022
fs,bd,18,00022
fs,ak,18,00022
fs,dl,18,00022
fs,cy,18,00022
nf,di,18,00022
nf,bm,18,00022
nf,bc,18,00022
nf,be,18,00022
nf,aa,18,00022
nf,ap,18,00022
nf,af,18,00022
nf,cd,18,00022
nf,bd,18,00022
nf,ak,18,00022
nf,dl,18,00022
nf,cy,18,00022
ph,di,18,00022
ph,bm,18,00022
ph,bc,18,00022
ph,be,18,00022
ph,aa,18,00022
ph,ap,18,00022
ph,af,18,00022
ph,cd,18,00022
ph,bd,18,00022
ph,ak,18,00022
ph,dl,18,00022
ph,cy,18,00022
vm,di,18,00022
vm,bm,18,00022
vm,bc,18,00022
vm,be,18,00022
vm,aa,18,00022
vm,ap,18,00022
vm,af,18,00022
vm,cd,18,00022
vm,bd,18,00022
vm,ak,18,00022
vm,dl,18,00022
vm,cy,18,00022
ap,di,04,00023
ap,ak,04,00023
vm,di,04,00023
vm,ak,04,00023
ap,di,04,00024
ap,di,04,00025
ap,di,07,00026
ap,di,04,00026
ap,di,01,00026
ap,di,19,00026
ap,al,07,00026
ap,al,04,00026
ap,al,01,00026
ap,al,19,00026
ap,ae,07,00026
ap,ae,04,00026
ap,ae,01,00026
ap,ae,19,00026
ap,ap,07,00026
ap,ap,04,00026
ap,ap,01,00026
ap,ap,19,00026
vm,di,07,00026
vm,di,04,00026
vm,di,01,00026
vm,di,19,00026
vm,al,07,00026
vm,al,04,00026
vm,al,01,00026
vm,al,19,00026
vm,ae,07,00026
vm,ae,04,00026
vm,ae,01,00026
vm,ae,19,00026
vm,ap,07,00026
vm,ap,04,00026
vm,ap,01,00026
vm,ap,19,00026
ap,di,08,00027
ap,di,04,00027
ap,ae,08,00027
ap,ae,04,00027
ap,cu,08,00027
