sideeff_cd1,sideeff_nm1,sideeff_cd2,sideeff_nm2,sideeff_txt,sideeff_caution
br,감마리놀렌산(GLA),az,오메가3,"감마리놀렌산에 오메가6 지방산이 포함되어 있어, 같이 복용시 오메가3 효과 저하",오메가3 지방산과 오메가6 지방산의 비율을 1:4로 균형 유지
ay,구리,aa,비타민C,고함량 비타민C를 섭취 시 구리 흡수율 저하,구리 추가 보충 필요
ap,셀레늄(셀렌),aa,비타민C,체내 흡수 방해,식사 후 복용시 상관 없음
ay,구리,ar,아연,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
au,철,ar,아연,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
ao,칼슘,ar,아연,고용량 칼슘은 아연의 흡수 방해,장기간 칼슘제 섭취 시 아연을 추가적으로 보충
be,루테인,ac,비타민A,"루테인은 비타민A의 일종으로, 과다 섭취할 경우 간 축적 및 부작용 우려","고함량 루테인 섭취 시, 비타민A 권장 섭취량 확인하기"
aj,베타카로틴,ac,비타민A,"베타카로틴은 비타민A의 일종으로, 중복 섭취 시 과잉 섭취 주의 필요","비타민 A의 1일 권장량 확인하기 (성인 기준, 남자: 750~800㎍ RAE, 여자: 600~650㎍ RAE)"
as,마그네슘,au,철,체내 흡수 방해,"철분을 식전 복용, 마그네슘 식사 후 복용"
ar,아연,au,철,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
ao,칼슘,au,철,체내 흡수 방해,"철분을 식전 복용, 칼슘제 식사 후 복용"
ac,비타민A,be,루테인,"루테인은 비타민A의 일종으로, 과다 섭취할 경우 간 축적 및 부작용 우려","고함량 루테인 섭취 시, 비타민A 권장 섭취량 확인하기"
ac,비타민A,aj,베타카로틴,"베타카로틴은 비타민A의 일종으로, 중복 섭취 시 과잉 섭취 주의 필요","비타민 A의 1일 권장량 확인하기 (성인 기준, 남자: 750~800㎍ RAE, 여자: 600~650㎍ RAE)"
al,비타민B2,ao,칼슘,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
ad,비타민D,ao,칼슘,칼슘 과다 흡수로 고칼슘혈증 유발 가능성,동맥경화나 이상지질혈증이 있는 경우 주의 필요
cz,스피루리나,ao,칼슘,미네랄 성분과 흡수 경쟁으로 흡수율 저하,몸에 흡수되는 미네랄의 양은 한정적이기 때문에 한꺼번에 섭취하는 것은 비효율적임
ar,아연,ao,칼슘,고용량 칼슘은 아연의 흡수 방해,장기간 칼슘제 섭취 시 아연을 추가적으로 보충
au,철,ao,칼슘,체내 흡수 방해,"철분을 식전 복용, 칼슘제 식사 후 복용"
du,클로렐라,ao,칼슘,미네랄 성분과 흡수 경쟁으로 흡수율 저하,몸에 흡수되는 미네랄의 양은 한정적이기 때문에 한꺼번에 섭취하는 것은 비효율적임
aa,비타민C,ay,구리,고함량 비타민C를 섭취 시 구리 흡수율 저하,구리 추가 보충 필요
ar,아연,ay,구리,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
aa,비타민C,ap,셀레늄(셀렌),체내 흡수 방해,식사 후 복용시 상관 없음
ah,비타민E,ag,비타민K,"비타민E 과잉 섭취 시, 혈액 응고를 담당하는 비타민 K의 작용 방해","비타민 E 중복 섭취 시, 하루 충분 섭취량 확인하기"
ag,비타민K,ah,비타민E,"비타민E 과잉 섭취 시, 혈액 응고를 담당하는 비타민 K의 작용 방해","비타민 E 중복 섭취 시, 하루 충분 섭취량 확인하기"
az,오메가3,br,감마리놀렌산(GLA),"감마리놀렌산에 오메가6 지방산이 포함되어 있어, 같이 복용시 오메가3 효과 저하",오메가3 지방산과 오메가6 지방산의 비율을 1:4로 균형 유지
au,철,as,마그네슘,체내 흡수 방해,"철분을 식전 복용, 마그네슘 식사 후 복용"
ao,칼슘,cz,스피루리나,미네랄 성분과 흡수 경쟁으로 흡수율 저하,몸에 흡수되는 미네랄의 양은 한정적이기 때문에 한꺼번에 섭취하는 것은 비효율적임
ao,칼슘,du,클로렐라,미네랄 성분과 흡수 경쟁으로 흡수율 저하,몸에 흡수되는 미네랄의 양은 한정적이기 때문에 한꺼번에 섭취하는 것은 비효율적임
ao,칼슘,ad,비타민D,칼슘 과다 흡수로 고칼슘혈증 유발 가능성,동맥경화나 이상지질혈증이 있는 경우 주의 필요
ao,칼슘,al,비타민B2,체내 흡수 방해,"둘 다 섭취 시, 따로 복용 권장"
